iso3,year,category,category_name,type,type_name,value,data_type,units,source,variable
ATG,2018,C,Ambiguous,C1,Fisher assistance,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
ATG,2018,C,Ambiguous,C3,Rural fisher communities,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,A,Beneficial,A1,Fisheries management,103315416.4,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,A,Beneficial,A2,Fishery research and development,53391595.81,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,A,Beneficial,A3,Marine protected areas,181232631.4,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,B,Capacity-enhancing,B1,Boat construction and renovation,12903829.25,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,B,Capacity-enhancing,B2,Fisheries development projects,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,344832.0795,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,B,Capacity-enhancing,B6,Fishing access agreements,2845893.93,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,B,Capacity-enhancing,B7,Fuel subsidies,12218003.96,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,C,Ambiguous,C1,Fisher assistance,19086634.93,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,C,Ambiguous,C2,Vessel buyback programs,9402956.25,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
AUS,2018,C,Ambiguous,C3,Rural fisher communities,2477287.567,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,A,Beneficial,A1,Fisheries management,3296561.546,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,A,Beneficial,A2,Fishery research and development,496189.7241,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,A,Beneficial,A3,Marine protected areas,1757024.727,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,B,Capacity-enhancing,B1,Boat construction and renovation,61226.16941,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,B,Capacity-enhancing,B2,Fisheries development projects,911650.023,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,B,Capacity-enhancing,B3,Fishing port development,645794.6053,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,338203.845,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,18834978.99,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,B,Capacity-enhancing,B6,Fishing access agreements,779750.29,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,B,Capacity-enhancing,B7,Fuel subsidies,5142150.503,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,C,Ambiguous,C1,Fisher assistance,1305911.342,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,C,Ambiguous,C2,Vessel buyback programs,1422252.683,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEL,2018,C,Ambiguous,C3,Rural fisher communities,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,A,Beneficial,A1,Fisheries management,9232292.617,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,A,Beneficial,A2,Fishery research and development,451720.0195,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,A,Beneficial,A3,Marine protected areas,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,B,Capacity-enhancing,B1,Boat construction and renovation,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,B,Capacity-enhancing,B2,Fisheries development projects,1121835.021,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,B,Capacity-enhancing,B6,Fishing access agreements,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,B,Capacity-enhancing,B7,Fuel subsidies,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,C,Ambiguous,C1,Fisher assistance,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BEN,2018,C,Ambiguous,C3,Rural fisher communities,232400.3112,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,A,Beneficial,A1,Fisheries management,9047546.933,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,A,Beneficial,A2,Fishery research and development,7900501.951,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,A,Beneficial,A3,Marine protected areas,3718424.563,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,B,Capacity-enhancing,B1,Boat construction and renovation,3883144.511,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,B,Capacity-enhancing,B2,Fisheries development projects,45813224.54,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,6598368.872,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,B,Capacity-enhancing,B6,Fishing access agreements,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,B,Capacity-enhancing,B7,Fuel subsidies,35088039.27,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,C,Ambiguous,C1,Fisher assistance,47308800,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGD,2018,C,Ambiguous,C3,Rural fisher communities,2024552.428,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,A,Beneficial,A1,Fisheries management,1891613.495,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,A,Beneficial,A2,Fishery research and development,443210.6473,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,A,Beneficial,A3,Marine protected areas,5491622.52,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,B,Capacity-enhancing,B1,Boat construction and renovation,218338.5888,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,B,Capacity-enhancing,B2,Fisheries development projects,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,490507.8935,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,B,Capacity-enhancing,B6,Fishing access agreements,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,B,Capacity-enhancing,B7,Fuel subsidies,6787535.747,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,C,Ambiguous,C1,Fisher assistance,146087.5612,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BGR,2018,C,Ambiguous,C3,Rural fisher communities,237051.3383,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,A,Beneficial,A1,Fisheries management,10990054.9,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,A,Beneficial,A2,Fishery research and development,2575002.432,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,A,Beneficial,A3,Marine protected areas,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,B,Capacity-enhancing,B1,Boat construction and renovation,1653254.107,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,B,Capacity-enhancing,B2,Fisheries development projects,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,B,Capacity-enhancing,B3,Fishing port development,2848880.814,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,5756514.089,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,B,Capacity-enhancing,B6,Fishing access agreements,989996.01,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,B,Capacity-enhancing,B7,Fuel subsidies,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,C,Ambiguous,C1,Fisher assistance,1106171.208,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHR,2018,C,Ambiguous,C3,Rural fisher communities,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,A,Beneficial,A1,Fisheries management,2291412,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,A,Beneficial,A2,Fishery research and development,1700000,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,A,Beneficial,A3,Marine protected areas,9394835.37,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,B,Capacity-enhancing,B1,Boat construction and renovation,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,B,Capacity-enhancing,B2,Fisheries development projects,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,4625550.542,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,B,Capacity-enhancing,B6,Fishing access agreements,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,B,Capacity-enhancing,B7,Fuel subsidies,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,C,Ambiguous,C1,Fisher assistance,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BHS,2018,C,Ambiguous,C3,Rural fisher communities,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,A,Beneficial,A1,Fisheries management,7849.27132,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,A,Beneficial,A2,Fishery research and development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,A,Beneficial,A3,Marine protected areas,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,B,Capacity-enhancing,B1,Boat construction and renovation,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,B,Capacity-enhancing,B2,Fisheries development projects,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,B,Capacity-enhancing,B6,Fishing access agreements,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,B,Capacity-enhancing,B7,Fuel subsidies,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,C,Ambiguous,C1,Fisher assistance,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BIH,2018,C,Ambiguous,C3,Rural fisher communities,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,A,Beneficial,A1,Fisheries management,4217228.85,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,A,Beneficial,A2,Fishery research and development,307326.5328,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,A,Beneficial,A3,Marine protected areas,9721373.393,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,B,Capacity-enhancing,B1,Boat construction and renovation,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,B,Capacity-enhancing,B2,Fisheries development projects,14255767.19,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,B,Capacity-enhancing,B3,Fishing port development,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,332505.625,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,16781892.18,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,B,Capacity-enhancing,B6,Fishing access agreements,15723894.71,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,B,Capacity-enhancing,B7,Fuel subsidies,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,C,Ambiguous,C1,Fisher assistance,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BLZ,2018,C,Ambiguous,C3,Rural fisher communities,164373.6818,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,A,Beneficial,A1,Fisheries management,42571102.79,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,A,Beneficial,A2,Fishery research and development,53552010.3,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,A,Beneficial,A3,Marine protected areas,149979343.5,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,B,Capacity-enhancing,B1,Boat construction and renovation,27928835.92,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,B,Capacity-enhancing,B2,Fisheries development projects,8257499.848,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,B,Capacity-enhancing,B3,Fishing port development,332049.0338,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,B,Capacity-enhancing,B4,Marketing and storage infrastructure,121220212.9,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,B,Capacity-enhancing,B5,Non-fuel tax exemption,92115717.9,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,B,Capacity-enhancing,B6,Fishing access agreements,54151.86,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,B,Capacity-enhancing,B7,Fuel subsidies,6181967.382,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,C,Ambiguous,C1,Fisher assistance,30063729.48,Reported,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,C,Ambiguous,C2,Vessel buyback programs,0,Found no evidence of subsidy,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRA,2018,C,Ambiguous,C3,Rural fisher communities,28642307.64,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRB,2018,A,Beneficial,A1,Fisheries management,563755.073,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
BRB,2018,A,Beneficial,A2,Fishery research and development,132089.4842,Modeled,2018 US$,Sumaila et al. (2019),subsidies_Sumaila
