iso3,sovereign_iso3,WTO_name,WTO_status,is_EU,is_overseas_territory,is_permanently_inhabited,development_status,is_WTO
SYR,SYR,Syrian Arab Republic,Observer,FALSE,FALSE,TRUE,,TRUE
TCD,TCD,Chad,Member,FALSE,FALSE,TRUE,LDC,TRUE
TGO,TGO,Togo,Member,FALSE,FALSE,TRUE,LDC,TRUE
THA,THA,Thailand,Member,FALSE,FALSE,TRUE,,TRUE
TJK,TJK,Tajikistan,Member,FALSE,FALSE,TRUE,Developed,TRUE
TKM,TKM,Turkmenistan,Non-Member,FALSE,FALSE,TRUE,Developed,FALSE
TLS,TLS,Timor-Leste,Observer,FALSE,FALSE,TRUE,LDC,TRUE
TON,TON,Tonga,Member,FALSE,FALSE,TRUE,,TRUE
TTO,TTO,Trinidad and Tobago,Member,FALSE,FALSE,TRUE,,TRUE
TUN,TUN,Tunisia,Member,FALSE,FALSE,TRUE,,TRUE
TUR,TUR,Turkey,Member,FALSE,FALSE,TRUE,Developing,TRUE
TUV,TUV,Tuvalu,Non-Member,FALSE,FALSE,TRUE,LDC,FALSE
TWN,TWN,Chinese Taipei,Member,FALSE,FALSE,TRUE,,TRUE
TZA,TZA,Tanzania,Member,FALSE,FALSE,TRUE,LDC,TRUE
UGA,UGA,Uganda,Member,FALSE,FALSE,TRUE,LDC,TRUE
UKR,UKR,Ukraine,Member,FALSE,FALSE,TRUE,Developed,TRUE
URY,URY,Uruguay,Member,FALSE,FALSE,TRUE,,TRUE
USA,USA,United States,Member,FALSE,FALSE,TRUE,Developed,TRUE
ASM,USA,,,FALSE,TRUE,TRUE,,TRUE
GUM,USA,,,FALSE,TRUE,TRUE,,TRUE
MNP,USA,,,FALSE,TRUE,TRUE,,TRUE
PRI,USA,,,FALSE,TRUE,TRUE,,TRUE
UMI,USA,,,FALSE,TRUE,FALSE,,TRUE
VIR,USA,,,FALSE,TRUE,TRUE,,TRUE
UZB,UZB,Uzbekistan,Observer,FALSE,FALSE,TRUE,Developed,TRUE
VAT,VAT,Holy See,Observer,FALSE,FALSE,TRUE,,TRUE
VCT,VCT,Saint Vincent and the Grenadines,Member,FALSE,FALSE,TRUE,,TRUE
VEN,VEN,"Venezuela, Bolivarian Republic of",Member,FALSE,FALSE,TRUE,,TRUE
VNM,VNM,Viet Nam,Member,FALSE,FALSE,TRUE,,TRUE
VUT,VUT,Vanuatu,Member,FALSE,FALSE,TRUE,LDC,TRUE
WSM,WSM,Samoa,Member,FALSE,FALSE,TRUE,,TRUE
YEM,YEM,Yemen,Member,FALSE,FALSE,TRUE,LDC,TRUE
ZAF,ZAF,South Africa,Member,FALSE,FALSE,TRUE,,TRUE
ZMB,ZMB,Zambia,Member,FALSE,FALSE,TRUE,LDC,TRUE
ZWE,ZWE,Zimbabwe,Member,FALSE,FALSE,TRUE,,TRUE
